image_id,split
Train_84821,valid
Train_10925,valid
Train_20284,valid
Train_182033,valid
Train_111507,valid
Train_200657,valid
Train_87069,valid
Train_196598,valid
Train_1999,valid
Train_86202,valid
Train_193260,valid
Train_135771,valid
Train_182232,valid
Train_150948,valid
Train_45828,valid
Train_85463,valid
Train_55663,valid
Train_20090,valid
Train_196071,valid
Train_34551,valid
Train_154424,valid
Train_49826,valid
Train_181523,valid
Train_165476,valid
Train_12008,valid
Train_123971,valid
Train_142457,valid
Train_180899,valid
Train_176567,valid
Train_84348,valid
Train_157118,valid
Train_39834,valid
Train_171701,valid
Train_49766,valid
Train_159439,valid
Train_124744,valid
Train_199447,valid
Train_126779,valid
Train_186639,valid
Train_20943,valid
Train_133580,valid
Train_101397,valid
Train_3650,valid
Train_58440,valid
Train_58824,valid
Train_30038,valid
Train_4295,valid
Train_28277,valid
Train_185716,valid
Train_98751,valid
Train_78356,valid
Train_8447,valid
Train_87262,valid
Train_186906,valid
Train_35801,valid
Train_46950,valid
Train_75294,valid
Train_187217,valid
Train_2862,valid
Train_162867,valid
Train_84078,valid
Train_1265,valid
Train_59542,valid
Train_90592,valid
Train_134743,valid
Train_82746,valid
Train_63984,valid
Train_158779,valid
Train_130284,valid
Train_13784,valid
Train_8826,valid
Train_190214,valid
Train_135757,valid
Train_181544,valid
Train_198836,valid
Train_12562,valid
Train_190572,valid
Train_114713,valid
Train_149272,valid
Train_20997,valid
Train_86945,valid
Train_144066,valid
Train_152683,valid
Train_189565,valid
Train_70453,valid
Train_114240,valid
Train_198946,valid
Train_5513,valid
Train_105876,valid
Train_53541,valid
Train_89411,valid
Train_88765,valid
Train_185383,valid
Train_190420,valid
Train_104084,valid
Train_36890,valid
Train_113452,valid
Train_37363,valid
Train_23772,valid
Train_199843,valid
Train_53449,valid
Train_132232,valid
Train_3335,valid
Train_76267,valid
Train_163225,valid
Train_47386,valid
Train_28076,valid
Train_129174,valid
Train_810,valid
Train_127626,valid
Train_200810,valid
Train_106245,valid
Train_13553,valid
Train_90990,valid
Train_184700,valid
Train_13168,valid
Train_40802,valid
Train_88650,valid
Train_73258,valid
Train_125976,valid
Train_33372,valid
Train_21029,valid
Train_70415,valid
Train_131897,valid
Train_10840,valid
Train_49734,valid
Train_106645,valid
Train_46133,valid
Train_53442,valid
Train_147098,valid
Train_77571,valid
Train_7746,valid
Train_169875,valid
Train_177565,valid
Train_17516,valid
Train_175882,valid
Train_79206,valid
Train_122388,valid
Train_38485,valid
Train_187724,valid
Train_180975,valid
Train_176564,valid
Train_24866,valid
Train_74656,valid
Train_141055,valid
Train_177951,valid
Train_94455,valid
Train_12501,valid
Train_35836,valid
Train_103533,valid
Train_54340,valid
Train_163685,valid
Train_102968,valid
Train_27244,valid
Train_171567,valid
Train_70368,valid
Train_102948,valid
Train_106957,valid
Train_32262,valid
Train_45812,valid
Train_72000,valid
Train_84413,valid
Train_164195,valid
Train_182002,valid
Train_10016,valid
Train_75755,valid
Train_129495,valid
Train_185619,valid
Train_43434,valid
Train_84147,valid
Train_99795,valid
Train_30603,valid
Train_78429,valid
Train_200338,valid
Train_95778,valid
Train_106632,valid
Train_4126,valid
Train_33477,valid
Train_136006,valid
Train_4163,valid
Train_119730,valid
Train_79398,valid
Train_197155,valid
Train_133814,valid
Train_184294,valid
Train_65478,valid
Train_169545,valid
Train_90482,valid
Train_196209,valid
Train_148263,valid
Train_76470,valid
Train_171584,valid
Train_33876,valid
Train_128413,valid
Train_171100,valid
Train_72411,valid
Train_37721,valid
Train_31309,valid
Train_32864,valid
Train_93948,valid
Train_31948,valid
Train_23634,valid
Train_83606,valid
Train_130886,valid
Train_51902,valid
Train_99236,valid
Train_114569,valid
Train_76656,valid
Train_192912,valid
Train_182752,valid
Train_26410,valid
Train_173376,valid
Train_140033,valid
Train_140167,valid
Train_7037,valid
Train_169934,valid
Train_9269,valid
Train_135794,valid
Train_49755,valid
Train_198959,valid
Train_161487,valid
Train_145848,valid
Train_190715,valid
Train_29114,valid
Train_4464,valid
Train_172303,valid
Train_50851,valid
Train_48868,valid
Train_21692,valid
Train_87204,valid
Train_54331,valid
Train_40824,valid
Train_6253,valid
Train_114557,valid
Train_121310,valid
Train_177161,valid
Train_78020,valid
Train_200815,valid
Train_20037,valid
Train_47631,valid
Train_150549,valid
Train_192757,valid
Train_158408,valid
Train_60691,valid
Train_40020,valid
Train_175791,valid
Train_51888,valid
Train_13342,valid
Train_12258,valid
Train_139765,valid
Train_129787,valid
Train_135402,valid
Train_34608,valid
Train_43641,valid
Train_160916,valid
Train_844,valid
Train_2471,valid
Train_149752,valid
Train_186852,valid
Train_78641,valid
Train_169032,valid
Train_181502,valid
Train_132041,valid
Train_141458,valid
Train_33221,valid
Train_138417,valid
Train_109485,valid
Train_156669,valid
Train_65719,valid
Train_159493,valid
Train_162018,valid
Train_101111,valid
Train_18044,valid
Train_106680,valid
Train_177891,valid
Train_106564,valid
Train_68840,valid
Train_199779,valid
Train_24900,valid
Train_192060,valid
Train_173650,valid
Train_183526,valid
Train_140372,valid
Train_52591,valid
Train_136382,valid
Train_99522,valid
Train_5197,valid
Train_48255,valid
Train_171657,valid
Train_8871,valid
Train_161932,valid
Train_53604,valid
Train_129915,valid
Train_193186,valid
Train_144865,valid
Train_190047,valid
Train_830,valid
Train_147311,valid
Train_185583,valid
Train_94890,valid
Train_129467,valid
Train_148796,valid
Train_60506,valid
Train_91885,valid
Train_173931,valid
Train_138644,valid
Train_116685,valid
Train_36555,valid
Train_5480,valid
Train_169685,valid
Train_101437,valid
Train_7793,valid
Train_88050,valid
Train_143222,valid
Train_170535,valid
Train_94467,valid
Train_52428,valid
Train_186997,valid
Train_178742,valid
Train_62750,valid
Train_49626,valid
Train_735,valid
Train_153662,valid
Train_76363,valid
Train_183207,valid
Train_144540,valid
Train_5507,valid
Train_34822,valid
Train_66759,valid
Train_110380,valid
Train_120502,valid
Train_199406,valid
Train_62155,valid
Train_1016,valid
Train_82992,valid
Train_190489,valid
Train_11154,valid
Train_14078,valid
Train_78194,valid
Train_199175,valid
Train_44990,valid
Train_77330,valid
Train_152996,valid
Train_20280,valid
Train_167951,valid
Train_72925,valid
Train_19596,valid
Train_40809,valid
Train_11940,valid
Train_186037,valid
Train_142504,valid
Train_25428,valid
Train_51554,valid
Train_91856,valid
Train_166060,valid
Train_60755,valid
Train_138267,valid
Train_41341,valid
Train_21384,valid
Train_83402,valid
Train_58202,valid
Train_111986,valid
Train_13713,valid
Train_154962,valid
Train_142690,valid
Train_151801,valid
Train_16764,valid
Train_52562,valid
Train_181269,valid
Train_159708,valid
Train_83964,valid
Train_9332,valid
Train_197092,valid
Train_105168,valid
Train_25936,valid
Train_180381,valid
Train_161776,valid
Train_116277,valid
Train_47974,valid
Train_126649,valid
Train_146959,valid
Train_63687,valid
Train_437,valid
Train_157243,valid
Train_142370,valid
Train_149899,valid
Train_73259,valid
Train_137303,valid
Train_83639,valid
Train_44380,valid
Train_116334,valid
Train_4134,valid
Train_60957,valid
Train_150964,valid
Train_158356,valid
Train_108084,valid
Train_23005,valid
Train_93666,valid
Train_197732,valid
Train_5787,valid
Train_9276,valid
Train_165417,valid
Train_56790,valid
Train_51636,valid
Train_177430,valid
Train_48359,valid
Train_123913,valid
Train_158129,valid
Train_66986,valid
Train_171749,valid
Train_20694,valid
Train_118537,valid
Train_81862,valid
Train_126059,valid
Train_137636,valid
Train_117521,valid
Train_6696,valid
Train_84476,valid
Train_36582,valid
Train_98471,valid
Train_143286,valid
Train_12650,valid
Train_120929,valid
Train_98599,valid
Train_4780,valid
Train_159651,valid
Train_175266,valid
Train_30723,valid
Train_77247,valid
Train_44699,valid
Train_155034,valid
Train_33854,valid
Train_88289,valid
Train_145033,valid
Train_60613,valid
Train_148444,valid
Train_161502,valid
Train_191500,valid
Train_33528,valid
Train_21849,valid
Train_174421,valid
Train_178253,valid
Train_54779,valid
Train_154361,valid
Train_70690,valid
Train_59526,valid
Train_104004,valid
Train_3836,valid
Train_160580,valid
Train_7508,valid
Train_45312,valid
Train_160016,valid
Train_138230,valid
Train_139470,valid
Train_28759,valid
Train_192268,valid
Train_56650,valid
Train_59833,valid
Train_64926,valid
Train_169972,valid
Train_103305,valid
Train_17330,valid
Train_83105,valid
Train_88394,valid
Train_2996,valid
Train_170638,valid
Train_160489,valid
Train_35028,valid
Train_15139,valid
Train_38372,valid
Train_132670,valid
Train_79970,valid
Train_9479,valid
Train_9915,valid
Train_112191,valid
Train_117427,valid
Train_173011,valid
Train_21177,valid
Train_136488,valid
Train_177325,valid
Train_142701,valid
Train_49638,valid
Train_55208,valid
Train_46392,valid
Train_42221,valid
Train_64213,valid
Train_23027,valid
Train_38139,valid
Train_152116,valid
Train_95532,valid
Train_39821,valid
Train_31030,valid
Train_78263,valid
Train_54462,valid
Train_46055,valid
Train_88236,valid
Train_157032,valid
Train_161459,valid
Train_21479,valid
Train_107163,valid
Train_133786,valid
Train_31927,valid
Train_84356,valid
Train_29656,valid
Train_164923,valid
Train_99669,valid
Train_100012,valid
Train_38063,valid
Train_129182,valid
Train_180499,valid
Train_161844,valid
Train_163283,valid
Train_116851,valid
Train_23697,valid
Train_12002,valid
Train_96690,valid
Train_12158,valid
Train_198099,valid
Train_64874,valid
Train_65792,valid
Train_199599,valid
Train_20540,valid
Train_136231,valid
Train_17596,valid
Train_40193,valid
Train_140672,valid
Train_100090,valid
Train_163533,valid
Train_155850,valid
Train_192135,valid
Train_12839,valid
Train_54925,valid
Train_156533,valid
Train_168114,valid
Train_165259,valid
Train_92813,valid
Train_149814,valid
Train_182526,valid
Train_124780,valid
Train_140820,valid
Train_141900,valid
Train_12810,valid
Train_188668,valid
Train_56846,valid
Train_172946,valid
Train_199616,valid
Train_126031,valid
Train_84491,valid
Train_107328,valid
Train_191336,valid
Train_155159,valid
Train_9948,valid
Train_177793,valid
Train_128911,valid
Train_35518,valid
Train_17160,valid
