image_id,split
Train_84821,train
Train_10925,train
Train_20284,train
Train_182033,train
Train_111507,train
Train_200657,train
Train_87069,train
Train_196598,train
Train_1999,train
Train_86202,train
Train_193260,train
Train_135771,train
Train_182232,train
Train_150948,train
Train_45828,train
Train_85463,train
Train_55663,train
Train_20090,train
Train_196071,train
Train_34551,train
Train_154424,train
Train_49826,train
Train_181523,train
Train_165476,train
Train_12008,train
Train_123971,train
Train_142457,train
Train_180899,train
Train_176567,train
Train_84348,train
Train_157118,train
Train_39834,train
Train_171701,train
Train_49766,train
Train_159439,train
Train_124744,train
Train_199447,train
Train_126779,train
Train_186639,train
Train_20943,train
Train_133580,train
Train_101397,train
Train_3650,train
Train_58440,train
Train_58824,train
Train_30038,train
Train_4295,train
Train_28277,train
Train_185716,train
Train_98751,train
Train_78356,train
Train_8447,train
Train_87262,train
Train_186906,train
Train_35801,train
Train_46950,train
Train_75294,train
Train_187217,train
Train_2862,train
Train_162867,train
Train_84078,train
Train_1265,train
Train_59542,train
Train_90592,train
Train_134743,train
Train_82746,train
Train_63984,train
Train_158779,train
Train_130284,train
Train_13784,train
Train_8826,train
Train_190214,train
Train_135757,train
Train_181544,train
Train_198836,train
Train_12562,train
Train_190572,train
Train_114713,train
Train_149272,train
Train_20997,train
Train_86945,train
Train_144066,train
Train_152683,train
Train_189565,train
Train_70453,train
Train_114240,train
Train_198946,train
Train_5513,train
Train_105876,train
Train_53541,train
Train_89411,train
Train_88765,train
Train_185383,train
Train_190420,train
Train_104084,train
Train_36890,train
Train_113452,train
Train_37363,train
Train_23772,train
Train_199843,train
Train_53449,train
Train_132232,train
Train_3335,train
Train_76267,train
Train_163225,train
Train_47386,train
Train_28076,train
Train_129174,train
Train_810,train
Train_127626,train
Train_200810,train
Train_106245,train
Train_13553,train
Train_90990,train
Train_184700,train
Train_13168,train
Train_40802,train
Train_88650,train
Train_73258,train
Train_125976,train
Train_33372,train
Train_21029,train
Train_70415,train
Train_131897,train
Train_10840,train
Train_49734,train
Train_106645,train
Train_46133,train
Train_53442,train
Train_147098,train
Train_77571,train
Train_7746,train
Train_169875,train
Train_177565,train
Train_17516,train
Train_175882,train
Train_79206,train
Train_122388,train
Train_38485,train
Train_187724,train
Train_180975,train
Train_176564,train
Train_24866,train
Train_74656,train
Train_141055,train
Train_177951,train
Train_94455,train
Train_12501,train
Train_35836,train
Train_103533,train
Train_54340,train
Train_163685,train
Train_102968,train
Train_27244,train
Train_171567,train
Train_70368,train
Train_102948,train
Train_106957,train
Train_32262,train
Train_45812,train
Train_72000,train
Train_84413,train
Train_164195,train
Train_182002,train
Train_10016,train
Train_75755,train
Train_129495,train
Train_185619,train
Train_43434,train
Train_84147,train
Train_99795,train
Train_30603,train
Train_78429,train
Train_200338,train
Train_95778,train
Train_106632,train
Train_4126,train
Train_33477,train
Train_136006,train
Train_4163,train
Train_119730,train
Train_79398,train
Train_197155,train
Train_133814,train
Train_184294,train
Train_65478,train
Train_169545,train
Train_90482,train
Train_196209,train
